epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,30463.2,1.34669,0.82625,0.89978,0.8715,0.74429,0.80827,0.60792,1.31083,0.78276,0.90924,0.000154321,0.000154321,0.000154321
151,30595.5,1.31106,0.80388,0.89626,0.86672,0.74905,0.80492,0.59754,1.32144,0.78397,0.91093,0.00015141,0.00015141,0.00015141
152,30737.5,1.30852,0.80467,0.89746,0.86184,0.75983,0.81878,0.61621,1.30928,0.77225,0.90834,0.000148499,0.000148499,0.000148499
153,30927.7,1.33965,0.82434,0.8975,0.86358,0.75042,0.81356,0.60745,1.32033,0.77727,0.91122,0.000145589,0.000145589,0.000145589
154,31176.7,1.35314,0.82878,0.90227,0.84165,0.76264,0.80777,0.60343,1.31783,0.78694,0.91221,0.000142678,0.000142678,0.000142678
155,31297.2,1.31024,0.80252,0.89166,0.86281,0.75368,0.81137,0.61052,1.31202,0.77838,0.9096,0.000139768,0.000139768,0.000139768
156,31454,1.34037,0.82285,0.8964,0.86087,0.76003,0.81338,0.61052,1.31318,0.77492,0.90966,0.000136857,0.000136857,0.000136857
157,31563.1,1.33244,0.8096,0.89656,0.84902,0.76172,0.81056,0.60993,1.31025,0.77203,0.90842,0.000133946,0.000133946,0.000133946
158,31680.9,1.30772,0.80363,0.89093,0.85419,0.7568,0.80845,0.61,1.30461,0.77015,0.9077,0.000131036,0.000131036,0.000131036
159,31809.1,1.31698,0.80534,0.896,0.87122,0.74607,0.81438,0.61101,1.30523,0.76065,0.90755,0.000128125,0.000128125,0.000128125
160,32228.1,1.33035,0.81139,0.89772,0.85869,0.7648,0.81963,0.61777,1.30258,0.76137,0.90681,0.000125215,0.000125215,0.000125215
161,32306.2,1.31975,0.8073,0.89429,0.86218,0.75951,0.81531,0.61561,1.29838,0.7688,0.90796,0.000122304,0.000122304,0.000122304
162,32500.7,1.31664,0.80899,0.89431,0.84848,0.76087,0.81438,0.61322,1.3111,0.77186,0.90975,0.000119393,0.000119393,0.000119393
163,32659.1,1.32538,0.80749,0.89416,0.88632,0.74806,0.81927,0.61267,1.30625,0.76564,0.90877,0.000116483,0.000116483,0.000116483
164,32835.6,1.30597,0.80094,0.89398,0.86107,0.7553,0.81156,0.61283,1.29808,0.76663,0.90703,0.000113572,0.000113572,0.000113572
165,33004.5,1.30384,0.79438,0.89031,0.88891,0.75317,0.82199,0.62263,1.29861,0.76447,0.90767,0.000110662,0.000110662,0.000110662
166,33276.5,1.30468,0.79528,0.89298,0.8791,0.75547,0.8203,0.61992,1.2905,0.7592,0.9055,0.000107751,0.000107751,0.000107751
167,33407.3,1.30996,0.79329,0.8927,0.8734,0.75831,0.81655,0.61625,1.29808,0.7642,0.90628,0.00010484,0.00010484,0.00010484
168,33529.3,1.32156,0.80911,0.89239,0.86068,0.76066,0.81379,0.61392,1.29717,0.76486,0.90684,0.00010193,0.00010193,0.00010193
169,33856.1,1.31487,0.80311,0.89203,0.87584,0.76054,0.81741,0.61617,1.29833,0.76448,0.90568,9.90192e-05,9.90192e-05,9.90192e-05
170,34099.3,1.32141,0.80078,0.89314,0.88828,0.76052,0.81683,0.61362,1.30609,0.76136,0.9078,9.61086e-05,9.61086e-05,9.61086e-05
171,34209.7,1.3034,0.78555,0.89279,0.88807,0.75653,0.82047,0.62346,1.29672,0.75554,0.90601,9.3198e-05,9.3198e-05,9.3198e-05
172,34332.4,1.30267,0.79417,0.89098,0.88181,0.75378,0.81808,0.62058,1.29216,0.75431,0.90535,9.02874e-05,9.02874e-05,9.02874e-05
173,34506.3,1.30578,0.79469,0.8917,0.88229,0.75065,0.81534,0.61606,1.29339,0.75401,0.90508,8.73768e-05,8.73768e-05,8.73768e-05
174,34759.2,1.27893,0.7834,0.89207,0.88306,0.75405,0.81815,0.6173,1.29372,0.76058,0.90548,8.44662e-05,8.44662e-05,8.44662e-05
175,34890,1.30379,0.78668,0.89046,0.87481,0.75625,0.82022,0.62385,1.29381,0.75884,0.90556,8.15556e-05,8.15556e-05,8.15556e-05
176,35066.4,1.29226,0.77991,0.89029,0.8842,0.75952,0.8225,0.62524,1.28247,0.7504,0.90368,7.8645e-05,7.8645e-05,7.8645e-05
177,35319.8,1.28614,0.78536,0.89187,0.88277,0.75581,0.81647,0.62103,1.29505,0.75653,0.90664,7.57344e-05,7.57344e-05,7.57344e-05
